location,country_code,status,error_message
Okänd,SWE,ZERO_RESULTS,
Okänt,???,ZERO_RESULTS,
Okänt antal länder,None,ZERO_RESULTS,
Olika av kriget lidande länder,None,ZERO_RESULTS,
Okända länder,None,ZERO_RESULTS,
Olika länder,None,ZERO_RESULTS,
Nörditalien,ITA,ZERO_RESULTS,
O,,ZERO_RESULTS,
O/S,DEU,ZERO_RESULTS,
"Bäve, Bohuslän",,ZERO_RESULTS,
Ort okänt,,ZERO_RESULTS,
Böhmen,None,ZERO_RESULTS,
Nynäs,SWE,ZERO_RESULTS,
Närke,,ZERO_RESULTS,
Olympiska Spelen,,ZERO_RESULTS,
Orienten,N/A,ZERO_RESULTS,
Orrgård 840,,ZERO_RESULTS,
"Nya Knutsberg, Nora",,ZERO_RESULTS,
Nya Lödöse,,ZERO_RESULTS,
Nyhamn,,ZERO_RESULTS,
"Bramstorp, Södra Aby",,ZERO_RESULTS,
"Brattfors, Öre älv",,ZERO_RESULTS,
Brittiska Väst-afrika,None,ZERO_RESULTS,
Brittiska Östafrika,null,ZERO_RESULTS,
British Honduras,BLZ,ZERO_RESULTS,
Brittiska Indien och Buraia,,ZERO_RESULTS,
Brittiska Östafrika,,ZERO_RESULTS,
Bro,SWE,ZERO_RESULTS,
Brittiska Västafrika,None,ZERO_RESULTS,
Bömma,,ZERO_RESULTS,
Chunking,,ZERO_RESULTS,
Bångbro,,ZERO_RESULTS,
Casparsson,None,ZERO_RESULTS,
Central-Rhodopien,,ZERO_RESULTS,
Cette,,ZERO_RESULTS,
"Nan-king, Iiankau",CHN,ZERO_RESULTS,
Partilie,,ZERO_RESULTS,
"Norra Kedu, Skaraborgs Län",,ZERO_RESULTS,
"Norra Keduin, Skaraborgs Län",,ZERO_RESULTS,
Norra Kyrketorp,,ZERO_RESULTS,
N.F.,None,ZERO_RESULTS,
"Norn, Dalarne",,ZERO_RESULTS,
"N. Ving, Skaraborgs Län",,ZERO_RESULTS,
Mölnlycke,SWE,ZERO_RESULTS,
Mörkö,,ZERO_RESULTS,
"N:a Vram, Malmöhus Län",,ZERO_RESULTS,
"Naglum, Älvsborgs Län",,ZERO_RESULTS,
Nordfinland,FIN,ZERO_RESULTS,
Nordiska länder,None,ZERO_RESULTS,
Nordiska länderna,None,ZERO_RESULTS,
Nordsjöns kusttrakter,string,ZERO_RESULTS,
Nordsmålands östra inspektionsområde,,ZERO_RESULTS,
Norda Zemlja,RUS,ZERO_RESULTS,
Nordafr.,null,ZERO_RESULTS,
Norra distriktet,SWE,ZERO_RESULTS,
Norra Åkarp,,ZERO_RESULTS,
Norra Åsbo,,ZERO_RESULTS,
Nissafors,,ZERO_RESULTS,
Nordsyrien,SYR,ZERO_RESULTS,
Nora landsförsamling,,ZERO_RESULTS,
None,EGY,ZERO_RESULTS,
None,FIN,ZERO_RESULTS,
Nora,SWE,ZERO_RESULTS,
"Nora Wing, Skaraborgs Län",,ZERO_RESULTS,
Nora distrikt,,ZERO_RESULTS,
Parisutställningen,,ZERO_RESULTS,
Ostpreussen,,ZERO_RESULTS,
Ostpreussen,DEU,ZERO_RESULTS,
Ostturkestan,None,ZERO_RESULTS,
Paris o. Haag,,ZERO_RESULTS,
"Ova, Skaraborgs Län",,ZERO_RESULTS,
Oskar Fredrikébörg,,ZERO_RESULTS,
Paris och Rom,,ZERO_RESULTS,
Parisutställningen,FRA,ZERO_RESULTS,
"Patukota, Tänj öre",,ZERO_RESULTS,
Perevolojna,None,ZERO_RESULTS,
Pampas,ARG,ZERO_RESULTS,
Ovnmpo,None,ZERO_RESULTS,
Norrland och Dalarne,,ZERO_RESULTS,
Altona (Holstein),,ZERO_RESULTS,
Balticum,string,ZERO_RESULTS,
Alvsborgs Län,,ZERO_RESULTS,
"Balsåkra, Kristianstads Län",,ZERO_RESULTS,
Anneberg,,ZERO_RESULTS,
Amazonexpedition,,ZERO_RESULTS,
Baltikum,XXX,ZERO_RESULTS,
Björklund,,ZERO_RESULTS,
Blomstedt,,ZERO_RESULTS,
Blinkarp,,ZERO_RESULTS,
Alholt,None,ZERO_RESULTS,
"Avesta, Axmar, Galtström och Nyberget",,ZERO_RESULTS,
"Axberg, Närke",,ZERO_RESULTS,
Aires,ARG,ZERO_RESULTS,
111.,,ZERO_RESULTS,
Agnetorp,,ZERO_RESULTS,
Afr.,ZAF,ZERO_RESULTS,
Abessinien,None,ZERO_RESULTS,
Bara,,ZERO_RESULTS,
Bara härad,,ZERO_RESULTS,
Bayard,USA,ZERO_RESULTS,
Barnes,,ZERO_RESULTS,
Baltiska staterna,okänt,ZERO_RESULTS,
Baltiska stater,None,ZERO_RESULTS,
"Berfendal, Göteborgs och Bohus Län",,ZERO_RESULTS,
Baltiska Länder,None,ZERO_RESULTS,
Baltiska länder,None,ZERO_RESULTS,
Bergslagen,,ZERO_RESULTS,
"Birka, Täng",,ZERO_RESULTS,
Biomma,,ZERO_RESULTS,
Bermudasöarna,BMU,ZERO_RESULTS,
Besangon,FRA,ZERO_RESULTS,
Besangon,,ZERO_RESULTS,
Bie,SWE,ZERO_RESULTS,
Billesh.,,ZERO_RESULTS,
Bonin-öarna,None,ZERO_RESULTS,
